date,session_type,superset_id,exercise_ab,exercise_name,weight,reps,set_number
2026-04-06,haut_a,ss1,a,Developpe couche barre,70,7,1
2026-04-06,haut_a,ss1,a,Developpe couche barre,70,9,2
2026-04-06,haut_a,ss1,a,Developpe couche barre,80,4,3
2026-04-06,haut_a,ss1,a,Developpe couche barre,80,5,4
2026-04-06,haut_a,ss1,b,Pompes lestees,PDC,15,1
2026-04-06,haut_a,ss1,b,Pompes lestees,PDC,15,2
2026-04-06,haut_a,ss1,b,Pompes lestees,PDC,12,3
2026-04-06,haut_a,ss1,b,Pompes lestees,PDC,12,4
2026-04-06,haut_a,ss2,a,Developpe incline halteres,30,10,1
2026-04-06,haut_a,ss2,a,Developpe incline halteres,30,11,2
2026-04-06,haut_a,ss2,a,Developpe incline halteres,30,9,3
2026-04-06,haut_a,ss2,b,Ecarte poulie (bas → haut),12.5,20,1
2026-04-06,haut_a,ss2,b,Ecarte poulie (bas → haut),12.5,20,2
2026-04-06,haut_a,ss2,b,Ecarte poulie (bas → haut),15,19,3
2026-04-06,haut_a,ss3,a,Dips (machine ou lest leger),PDC,15,1
2026-04-06,haut_a,ss3,a,Dips (machine ou lest leger),PDC,13,2
2026-04-06,haut_a,ss3,a,Dips (machine ou lest leger),10,13,3
2026-04-06,haut_a,ss4,a,Triceps poulie barre,30,15,1
2026-04-06,haut_a,ss4,a,Triceps poulie barre,30,15,2
2026-04-06,haut_a,ss4,a,Triceps poulie barre,30,15,3
2026-04-06,haut_a,ss4,b,Extension overhead corde,20,15,1
2026-04-06,haut_a,ss4,b,Extension overhead corde,PDC,12,2
2026-04-06,haut_a,ss4,b,Extension overhead corde,20,13,3
2026-04-06,haut_a,ss5,a,Curl incline,15,15,1
2026-04-06,haut_a,ss5,a,Curl incline,15,15,2
2026-04-06,haut_a,ss5,a,Curl incline,15,15,3
2026-04-06,haut_a,ss5,b,Curl marteau corde,17.5,15,1
2026-04-06,haut_a,ss5,b,Curl marteau corde,25,15,2
2026-04-06,haut_a,ss5,b,Curl marteau corde,22.5,15,3
2026-04-06,haut_a,ss6,a,Crunch machine,91,12,1
2026-04-06,haut_a,ss6,a,Crunch machine,91,15,2
2026-04-06,haut_a,ss6,a,Crunch machine,91,15,3
2026-04-06,haut_a,ss6,b,Releves de jambes,12.5,14,1
2026-04-06,haut_a,ss6,b,Releves de jambes,12.5,15,2
2026-04-06,haut_a,ss6,b,Releves de jambes,10,15,3
2026-04-06,haut_a,ss7,a,Face pull,20,20,1
2026-04-06,haut_a,ss7,a,Face pull,22.5,20,2
2026-04-06,haut_a,ss7,b,Rotations externes,10,19,1
2026-04-06,haut_a,ss7,b,Rotations externes,10,20,2
